2050,2051,10,12,12308,10266,10270,8224,12321,10273,8232,10284,8237,4142,14387,6198,4152,12347,14395,10301,4159,10304,74,6222,4175,4177,12370,8274,2148,104,105,108,120,8317,12420,14471,14485,8354,172,12463,182,8381,6337,10448,10449,6366,225,8421,233,2284,4345,14595,10508,12561,12566,10520,12573,14626,6448,6450,14645,14659,8517,8519,2382,6478,2384,14672,10576,8552,14715,4478,10626,8582,4492,10638,6548,6559,10659,4516,426,14763,6576,6577,14770,10677,441,2490,2494,12746,8653,4565,2520,10713,12762,2542,8699,2565,10762,2572,6668,12818,2587,2588,540,545,8740,552,8762,8765,14929,8790,14935,8792,6744,14942,14947,14948,10854,2668,12909,632,10876,12925,2688,669,15007,10913,6826,10931,12979,8887,10950,8906,15051,4817,15059,2774,15068,8927,15077,2796,2797,10996,4862,8958,6919,15112,15115,13070,13078,2840,4891,2846,4894,15149,9011,15162,11066,6970,13126,7001,9051,15200,867,15211,879,2929,885,13179,15229,4991,13184,15240,7050,11168,933,7080,939,5039,13233,5041,5047,7096,3023,7126,5078,9177,13278,13286,5100,7161,3071,15364,13324,15376,3095,9249,7206,1063,7208,11305,11306,5168,5175,7230,11330,9311,15465,11381,13429,5241,15482,3213,7309,11409,7321,7330,7333,5303,7365,9416,5320,7371,1234,13527,15579,9437,9438,11498,11501,9464,9465,15614,1291,3341,5391,3351,11545,5409,1323,13612,9520,11575,9531,13630,9544,7501,11605,11613,13664,9570,13668,9585,9588,5499,13699,9625,13728,9645,13747,13756,11716,3542,7643,3553,1505,1509,11759,9719,5628,1553,1560,1562,11804,11813,5678,3633,7744,13896,11868,11877,1651,7797,5753,9850,9852,7810,11908,9871,13971,11930,11941,9894,5802,14015,14017,14018,9929,5843,3808,7904,1774,9980,3840,5894,3854,5905,10008,14128,1849,12091,1852,1851,7995,14163,5988,8039,3943,3956,12150,1911,14205,8070,10120,12181,6040,14252,8122,4033,8133,4039,6112,10211,8164,4071,14311,12265,12266,8183,4094
12592,5792,23
3236,206
314,2930
320,2089
8992,356
14300,366
6852,445
2083,509
15336,525
10425,586
597,13719
13418,628,1181
3187,635
13276,700
713,15330
740,13293
768,5981
11219,781
826,8298
12194,866
6587,870
12160,14304,15371,13654,895
15468,1030
4851,1085
1192,2422
1194,15075
10947,1196
15355,1245
1293,11335
1312,5944
6674,1349
6397,1367
1400,2592
7819,1469
4294,1502
1504,10340
1596,7813
3241,1598
1640,1789
1706,7107
3104,1778
1824,6009
1836,4687
13265,1883
4419,1908
1963,9302
2099,8908
2141,3271
2153,4346
7112,2174
6017,2214
2228,4301
14822,2278
2282,5436
11627,2371
5353,2570
2645,8599
2777,10804
3005,2790
2795,5204
7717,2805
7073,2830
2842,3829
14089,2858
11481,2859
10344,2865
2971,13103
10129,2981
9208,3019
3040,15441
12943,3119
3123,4203
12537,3150
10082,3235
14547,3310
11856,3330
3393,11292
7859,3398
13588,3407
4285,3415
9227,3500
3508,13158
11186,3613
3658,11983
12587,3725
3778,8279
3834,4835
10194,3877
3881,13365
3930,12516
3993,12214
4024,5878
4201,8514
6578,4229
6930,4255
4264,10087
6932,4278
4298,15315
4344,13876
4386,8037
4467,8983
8801,4483
15300,4525
8569,4532
4541,15013
8272,4570
4600,11763
9547,4606
8300,4613
13746,4803
4878,14135
4969,12793
4970,13397
6506,4995
5004,8045
5020,10303
5034,11231
6808,5057
15338,5068
6042,5083
5110,5455
5129,15038
5162,6684
6386,5178
12813,6517,5342
5377,11247
5434,10506
12000,13516,5453,10822
8137,5510
10113,5730
13730,6973,5742
5883,5749
5763,14389
11646,5775
6498,5796
14457,6046
6800,6094
15395,6095
6096,8693
10866,6135
14907,6174
12610,6182
6257,8741
6264,8115
7611,6487
7201,6501
6556,15175
11048,6575
11228,6837
6856,8890
14643,6868
7032,10108
7058,12279
12859,7116
7129,8601,8611
7170,9870
13929,7223
12328,7239
8538,15030,7279
10137,7290
9746,7302
13329,7348
7584,7390
7401,11946
7492,13367
7520,12953
7562,13350
9114,7573
13619,7582
7592,8854
8897,7703
12777,7757
11160,7782
9443,7877
15394,7883
9336,7985
11585,7986
8064,8675
8077,10095
12212,8086
8121,9191
8136,11540
8331,13547
8394,12855
11546,8396
8426,11174
12216,8490
8496,11532
8507,14423
9739,8542
10859,8565
14768,8716
11723,8719
8752,11418
15605,8775
8888,10309
10371,9102
10038,9118
12868,9158
9216,11598
9730,9260
9474,14475,13354
9496,13846
10347,9540
12353,9573
9582,10287
9636,10510
9656,12608
9752,13142
13970,9758
9824,13387
13225,9903
13987,9916
11776,9932
9941,12645
13389,10021
13352,10217
14937,10222
12381,10325
10403,12670
10435,12012
10440,12376
10442,12067
10482,14212
10498,11515
10504,12504
12201,10598
15131,10739
10752,15348
10873,12853
11195,11733
11443,13991
11550,12159
11651,14598
14667,11979
12180,13301
12297,14774
12433,12315
12425,13209
12464,13925
12857,13441
13085,15135
14731,13119
13185,13771
13416,13359
13736,15114
13878,14759
14897,14931
