13835,9805,8713,1228,4456,13603,15165,3348,522,15605,1020,74,2207,13285,7423,6791,7423,7484,2432,8109,2920,8266,3429,10448,14525,596,13611,596,14936,6478,2668,13283,11615,12030,14017,14194,185,11245,4584,12872,14344,13915,7540,5137,14214,14704,14214,6552,9324,7069,9324,6285,5105,4518,12026,15188,13568,5908,13203,12523,10262,7645,11101,12523,2852,7056,1023,12030,2261,8859,5429,15565,10468,11153,2353,13346,11186,11847,10839,7388,2278,11043,10952,14235,4636,7302,2447,4025,5253,15303,12806,3162,7531,9715,4476,13674,6504,3454,6473,9220
10039,10528,4242,10431,3679,1568,1114,14654,9586,10838,11271,3467,7672,3467,1307,2056,12798,11383,3256,11530,4853,12577,6421,5554,5621,7043,2520,2384,14471,8421,8048,5779,12951,2101,3079,9374,7424,12447,2334,11798,13662,3828,9398,9570,8790,5843,5302,7635,10833,2086,12807,10005,2628,1930,2628,12474,7728,15336,7323,4253,849,5203,7889,280,1610,280,3866,10644,8383,5864,1982,12876,1982,10720,12495,7666,11307,12799,8860,11823,13049,6813,4509,442,13613,3001,11655,3001,14253,6136,970,12786,10457,6415,1922,6415,713,11526,6996,2602
2954,749,4807,4114,12919,11500,12919,4926,1195,14196,14898,10704,5140,14114,7753,2423,2976,8797,11786,2044,8434,4180,13985,1714,7312,1714,13996,4334,12904,15501,13653,12098,1332,726,15547,4467,652,14732,10220,7230,885,3510,2669,502,8613,7846,4248,2654,11567,1079,11546,14209,4138,5094,4051,8161,10019,12535,8461,13130,521,9518,8385,7118,15242,5326,10831,9365,9268,10682,2764,4669,7451,4092,9236,9131,9236,9577,11609,14393,557,3512,11543,5519,5710,11951,13028,6205,423,6249,14619,11951,8518,7296,10853,11468,6684,6889,14912,8427
4247,10249,12630,1724,12680,1724,4358,4969,11217,5367,4862,7465,3685,13994,9725,6751,5920,8170,11117,10999,14379,7680,12619,7983,9798,14163,12314,8427,10067,12679,890,12679,12289,187,12289,7261,9294,449,10444,7882,1308,3314,14105,175,3982,6787,12648,5632,6120,3788,11414,13082,369,11738,5145,1019,5281,8333,10012,15080,7523,11253,14207,9844,14887,2538,5822,13884,10018,2419,13742,10191,13157,8459,12842,972,12137,8410,12137,12445,5989,9197,12445,7392,10403,9282,3052,10252,6868,12190,5408,8260,2676,1617,14469,13134,7947,11448,12244,7372
1535,9036,332,15210,14905,5394,4690,5394,3626,5649,8074,5804,6195,6451,5746,1512,9330,549,1326,5986,1326,13469,4812,12928,4136,4079,12911,10144,4965,11806,8368,968,9150,3409,10968,4149,6217,12111,5490,3156,8250,6248,1336,141,3335,14643,5471,5723,13513,2717,8470,15302,14570,9400,11055,14022,11055,13952,5418,7359,6305,7359,12793,1963,6033,4134,3461,9620,2472,8216,1965,12456,4462,6056,14338,6357,1764,3705,10121,6096,12480,9355,12480,10998,12480,13962,14797,2993,9881,3230,11598,14891,12492,14491,6809,6359,123,6127,15607,10053
10214,13062,12932,10260,12834,15610,4084,10953,11553,15530,3838,11183,8478,839,14909,3352,7451,5768,14977,12908,7000,14292,696,11747,10312,9962,6232,10769,890,8905,37,12036,10266,3000,2655,7833,9830,15217,7261,6320,14098,5939,5680,2712,8433,13080,13634,3017,8337,8925,878,10899,4858,5165,2368,7231,9754,14309,1715,6700,14409,3890,8097,267,5829,2484,7214,7732,10945,1477,3662,449,5993,13344,3531,2483,3418,11577,2496,8409,9400,5933,15117,12588,3188,5600,10356,6059,7393,5133,8263,2723,7853,12654,15419,5567,2861,1537,13084,5744
14088,7799,8666,7799,12496,7799,4810,13263,7329,14885,13108,3634,14513,11978,13404,10610,10316,10415,12613,11931,2895,1241,3161,8335,3127,7498,436,1576,14350,8066,7173,10432,6203,8508,4716,14138,5300,4296,12255,14111,1990,15039,1990,5329,6306,3648,11209,13779,8684,715,1945,9514,765,3280,10002,15283,15257,3855,2037,13328,748,1,1856,14209,1124,4056,13956,9777,4056,4368,11421,10,8676,10,12566,10913,9465,10913,12976,13742,6703,12477,2686,13032,4921,7174,9922,9635,539,8002,11022,9999,14515,13602,13456,5933,9670,2979,12365,3523
8308,3852,9857,7368,1800,7141,1800,8038,14332,5323,10732,4401,6487,4401,5582,14712,6067,10315,12167,10315,13162,13132,14296,6022,1724,1590,10612,1590,10695,11702,7818,13298,10399,13067,943,1950,10121,10739,12553,9306,179,5611,14468,13879,9499,4814,8936,2368,8936,5229,9974,1604,10891,15077,6363,14032,835,7338,5713,9218,9021,1345,13488,1345,8659,12938,8690,10882,1420,9111,11169,11896,14394,14914,11391,3016,11315,4034,5689,5561,14914,6404,1817,5768,13055,2918,11155,9940,8620,9940,858,2035,8604,2198,72,3261,1617,14469,5334,15523
6452,1669,3261,11443,6483,11218,8759,6613,4537,395,2584,5233,7694,8751,14066,7694,3858,5605,8620,12898,9754,2832,267,4593,1916,1894,2441,10113,630,7060,11114,11381,2797,6708,2251,1083,7789,1083,3478,6705,6246,13322,730,5529,8794,11747,12632,6558,7589,8674,3378,13263,14088,520,347,2397,3565,6619,3660,6032,96,3565,820,4037,11614,10018,10197,12399,11754,7760,5019,6382,5776,6869,3374,6869,9594,7862,6145,9200,6145,7862,4232,4909,8494,3295,12467,12314,9328,8427,6684,3322,131,13695,2527,9906,7382,9706,12733,5684
6491,2649,3406,5878,1626,11617,1626,5878,3406,14054,11803,5117,1804,5117,5379,1828,12796,9937,10517,6405,3486,1806,8536,15324,7263,13292,12283,4760,13292,4760,14404,2203,1090,3724,1215,2328,13222,13167,14178,2469,9403,942,9822,11235,11646,412,4912,2073,11181,5799,10608,644,5799,15285,668,169,7841,1887,5715,6369,3227,8555,1369,8555,9388,12633,14621,11609,12312,11445,11828,3787,3077,2386,15018,3482,317,12479,8603,8270,10456,11708,10456,12619,7171,947,14814,7917,3978,2240,3978,13940,2239,6649,12553,13221,4419,1908,8079,3978
11463,6707,4615,13924,3289,896,14466,10092,10014,14998,3901,5582,13379,9442,9899,1386,12627,367,7366,3590,3727,5654,14158,6237,136,8498,1002,114,13598,3697,133,9919,13648,1602,10076,8933,15389,13711,14176,2903,4419,1824,6152,9887,6152,10238,11809,10469,12498,7351,2502,12208,2479,15378,5553,2533,12290,12708,978,12439,196,7074,3498,10096,9596,10096,11937,2866,3109,731,7301,10735,13091,5814,13091,7615,14338,5392,4449,12729,9644,11616,7837,390,4319,210,4319,3031,11420,4427,9163,4514,9166,3800,10817,7622,11214,2296,9441,13255
